LINE 227 : 2021-04-20 14:52:36,454 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'Baekmuk Headline' (hline.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'Open Sans' (OpenSans-Semibold.ttf) normal normal 600 normal>) = 10.145
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'Noto Nastaliq Urdu' (NotoNastaliqUrdu-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'Noto Nastaliq Urdu' (NotoNastaliqUrdu-Bold.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'URW Bookman' (URWBookman-Light.otf) normal normal 300 normal>) = 10.43
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'DejaVu Math TeX Gyre' (DejaVuMathTeXGyre.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'Liberation Sans' (LiberationSans-BoldItalic.ttf) italic normal 700 normal>) = 11.05
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'Noto Sans Cherokee' (NotoSansCherokee-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'Noto Sans Linear B' (NotoSansLinearB-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerifCondensed.ttf) normal normal 400 condensed>) = 10.535
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'Noto Serif Myanmar' (NotoSerifMyanmar-Bold.ttf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'Latin Modern Mono Caps' (lmmonocaps10-regular.otf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'Linux Libertine O' (LinLibertine_R.otf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'Tlwg Typist' (TlwgTypist-BoldOblique.ttf) oblique normal 700 normal>) = 11.05
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'IPAexGothic' (fonts-japanese-gothic.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'EB Garamond SC' (EBGaramondSC08-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'Gentium Basic' (GenBasR.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'Noto Sans Devanagari' (NotoSansDevanagari-Bold.ttf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'FreeMono' (FreeMonoBold.ttf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'Mukti Narrow' (MuktiNarrow.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,406 [DEBUG   ] findfont: score(<Font 'FreeMono' (FreeMonoOblique.otf) oblique normal 400 normal>) = 11.335
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'Noto Sans Tamil Supplement' (NotoSansTamilSupplement-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'STIX' (STIX-Bold.otf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'Noto Serif Dogra' (NotoSerifDogra-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'Lato' (Lato-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'GFS Solomos' (GFSSolomos.otf) normal normal 400 normal>) = 10.335
